#,专项,信贷,基金,知识产权,示范,科技支撑计划,科技重大专项,自然科学基金,补助,规划,评估,高技术研究发展计划,高新区
农业部,0,0,0,0,0,0,0,0,0,0,0,0,0
国务院国资委,2,1,0,0,0,1,2,0,0,0,0,1,1
中共中央,0,0,0,0,0,0,0,0,0,0,0,0,0
文化部,0,0,0,0,0,0,0,0,0,0,0,0,0
科学技术部办公厅,0,0,0,0,1,0,0,0,1,0,0,0,0
国家林业局,0,0,0,0,0,0,0,0,0,0,0,0,0
中国工程院,0,0,3,0,0,0,0,6,0,0,0,0,0
中国银监会,2,1,0,0,0,1,2,0,0,0,0,1,1
国家税务总局,2,1,0,0,0,1,2,0,0,0,0,1,1
中国科学技术协会,0,0,3,0,0,0,0,6,0,0,0,0,0
新闻出版总署,0,0,0,0,0,0,0,0,0,0,0,0,0
广电总局,0,0,0,0,0,0,0,0,0,0,0,0,0
税务总局,0,0,0,0,0,0,0,0,0,1,0,0,0
工业和信息化部,0,0,0,0,0,0,0,0,0,1,0,0,0
中国保险监督管理委员会,1,0,0,0,0,0,0,0,1,0,0,0,0
中国证监会,2,1,0,0,0,1,2,0,0,0,0,1,1
中国科学院,1,0,4,0,1,0,0,6,0,0,0,0,0
中国人民银行,2,1,0,0,0,1,2,0,0,0,0,1,1
科技部,7,1,4,12,1,1,3,6,2,2,4,1,1
中宣部,0,0,0,0,0,0,0,0,0,0,0,0,0
人力资源和社会保障部,0,0,3,0,0,0,0,6,0,0,0,0,0
中国保监会,2,1,0,0,0,1,2,0,0,0,0,1,1
财政部,2,1,3,0,0,1,2,6,0,1,0,1,1
国务院,0,0,0,0,0,0,0,0,0,0,0,0,0
教育部,1,0,4,0,1,0,0,6,0,0,0,0,0
人力资源社会保障部,0,0,0,0,0,0,0,0,0,0,0,0,0
共青团中央,0,0,0,0,0,0,0,0,0,0,0,0,0
国家自然科学基金委员会,0,0,3,0,0,0,0,6,0,0,0,0,0
